qubits,execution_median_s,execution_mean_s,execution_std_s,process_wall_median_s,max_rss_median_mb,success_count
8,0.0922436416149139,0.0872746959328651,0.012204215443693706,2.5079644694924355,259.8125,5
10,0.1363439187407493,0.1208071917295456,0.022483610088834333,2.5502127408981323,260.16796875,5
12,0.1736360564827919,0.1693050399422645,0.030530011209900423,2.539708875119686,260.44921875,5
14,0.1995757296681404,0.23289108872413636,0.046708058506951436,2.452661350369453,260.84375,5
16,0.2732833549380302,0.320404189825058,0.06568218422314478,2.6227374896407127,262.39453125,5
18,0.3728827536106109,0.3716474279761314,0.0026970715827372023,2.1213861033320427,268.546875,5
19,0.4381139576435089,0.500127287209034,0.09221078591158584,2.2118756994605064,276.8515625,5
