workers,batch_wall_median_s,batch_wall_mean_s,batch_wall_std_s,success_min,speedup_vs_1worker,parallel_efficiency
1,25.393441274762157,25.39933538188537,0.5443174238220337,10,1.0,1.0
2,13.820973806083202,13.6171788473924,0.8371333714224025,10,1.83731201802766,0.91865600901383
4,7.903955817222595,7.9925998747348785,0.6147826184112396,10,3.2127509138437045,0.8031877284609261
8,5.404164597392082,5.3450863137841225,0.39582937517915306,10,4.698865257919127,0.5873581572398908
