backend,backend_setup_s,checksum_imag,checksum_real,creation_s,cuda_visible_devices,execution_s,max_rss_mb,omp_threads,openblas_threads,phase,process_wall_s,qubits,repeat,returncode,state_norm,state_size,status,threads,total_s,workload
qibotn (quimb),0.9557048603892326,0.0,15.999999999999922,0.0017316117882728577,,0.09218662977218628,260.03515625,1,1,baseline,2.5079644694924355,8,1,0,0.9999999999999951,256,success,1,1.0496299490332603,QFT
qibotn (quimb),0.9545464590191841,0.0,15.999999999999922,0.0017487183213233948,,0.09389527142047882,259.24609375,1,1,baseline,2.5122948735952377,8,2,0,0.9999999999999951,256,success,1,1.050197497010231,QFT
qibotn (quimb),0.9557360485196114,0.0,15.999999999999922,0.0016581043601036072,,0.09224364161491394,259.75,1,1,baseline,2.5206207931041718,8,3,0,0.9999999999999951,256,success,1,1.0496440902352333,QFT
qibotn (quimb),0.9485114812850952,0.0,15.999999999999922,0.0017287954688072205,,0.09256968647241592,259.8125,1,1,baseline,2.5050887167453766,8,4,0,0.9999999999999951,256,success,1,1.0428163409233093,QFT
qibotn (quimb),0.822908379137516,0.0,15.999999999999922,0.0012661516666412354,,0.06547825038433075,260.4453125,1,1,baseline,2.264585942029953,8,5,0,0.9999999999999951,256,success,1,0.8896576762199402,QFT
qibotn (quimb),0.9483490809798241,0.0,31.99999999999983,0.0018822401762008667,,0.13702342659235,260.3828125,1,1,baseline,2.5502127408981323,10,1,0,0.9999999999999968,1024,success,1,1.087261125445366,QFT
qibotn (quimb),0.6936127245426178,0.0,31.99999999999983,0.00138864666223526,,0.0958189070224762,260.16796875,1,1,baseline,1.9205976501107216,10,2,0,0.9999999999999968,1024,success,1,0.7908255904912949,QFT
qibotn (quimb),0.7042328640818596,0.0,31.99999999999983,0.0013679489493370056,,0.09656340628862381,260.09375,1,1,baseline,1.8797097280621529,10,3,0,0.9999999999999968,1024,success,1,0.8021693900227547,QFT
qibotn (quimb),0.949811078608036,0.0,31.99999999999983,0.0018455907702445984,,0.13634391874074936,259.55859375,1,1,baseline,2.55867550522089,10,4,0,0.9999999999999968,1024,success,1,1.0880071446299553,QFT
qibotn (quimb),0.9523490145802498,0.0,31.99999999999983,0.0018646344542503357,,0.1382863000035286,260.6171875,1,1,baseline,2.575436219573021,10,5,0,0.9999999999999968,1024,success,1,1.092506729066372,QFT
qibotn (quimb),0.942263051867485,0.0,63.99999999999987,0.002017490565776825,,0.13789153099060059,259.67578125,1,1,baseline,2.476877845823765,12,1,0,0.9999999999999999,4096,success,1,1.0821778178215027,QFT
qibotn (quimb),0.9488817378878593,0.0,63.99999999999987,0.0020294710993766785,,0.19852708280086517,260.7578125,1,1,baseline,2.6067226380109787,12,2,0,0.9999999999999999,4096,success,1,1.1494458317756653,QFT
qibotn (quimb),0.9268231466412544,0.0,63.99999999999987,0.0019993633031845093,,0.19878476113080978,260.44921875,1,1,baseline,2.560630202293396,12,3,0,0.9999999999999999,4096,success,1,1.127614177763462,QFT
qibotn (quimb),0.9475095048546791,0.0,63.99999999999987,0.002040371298789978,,0.1736360564827919,260.73046875,1,1,baseline,2.539708875119686,12,4,0,0.9999999999999999,4096,success,1,1.123191773891449,QFT
qibotn (quimb),0.6898359879851341,0.0,63.99999999999987,0.0014827251434326172,,0.13768576830625534,259.72265625,1,1,baseline,1.8976894915103912,12,5,0,0.9999999999999999,4096,success,1,0.8290098905563354,QFT
qibotn (quimb),0.9480192586779594,0.0,127.99999999999908,0.0021952837705612183,,0.2866613194346428,261.1171875,1,1,baseline,2.694923870265484,14,1,0,0.9999999999999993,16384,success,1,1.236883357167244,QFT
qibotn (quimb),0.8547754883766174,0.0,127.99999999999908,0.0016224980354309082,,0.19833958894014359,260.77734375,1,1,baseline,2.4526613503694534,14,2,0,0.9999999999999993,16384,success,1,1.0547428578138351,QFT
qibotn (quimb),0.6910099312663078,0.0,127.99999999999908,0.0016168206930160522,,0.1995757296681404,260.84375,1,1,baseline,2.2117014825344086,14,3,0,0.9999999999999993,16384,success,1,0.8922075033187866,QFT
qibotn (quimb),0.9382062181830406,0.0,127.99999999999908,0.002168498933315277,,0.2813655808568001,260.16015625,1,1,baseline,2.618410997092724,14,4,0,0.9999999999999993,16384,success,1,1.2217475771903992,QFT
qibotn (quimb),0.6874572113156319,0.0,127.99999999999908,0.0016070082783699036,,0.1985132247209549,261.1015625,1,1,baseline,1.9783782660961151,14,5,0,0.9999999999999993,16384,success,1,0.8875826969742775,QFT
qibotn (quimb),0.935686744749546,0.0,255.9999999999995,0.0018042773008346558,,0.2717725709080696,262.8203125,1,1,baseline,2.6227374896407127,16,1,0,0.9999999999999999,65536,success,1,1.2092693597078323,QFT
qibotn (quimb),0.6862385049462318,0.0,255.9999999999995,0.0034552067518234253,,0.2722729742527008,262.28515625,1,1,baseline,2.0526037365198135,16,2,0,0.9999999999999999,65536,success,1,0.9619724228978157,QFT
qibotn (quimb),0.9406600669026375,0.0,255.9999999999995,0.002389878034591675,,0.39105746150016785,261.52734375,1,1,baseline,2.7662990763783455,16,3,0,0.9999999999999999,65536,success,1,1.334115393459797,QFT
qibotn (quimb),0.9500911235809326,0.0,255.9999999999995,0.00235670804977417,,0.3936345875263214,262.39453125,1,1,baseline,2.7970050126314163,16,4,0,0.9999999999999999,65536,success,1,1.3460902273654938,QFT
qibotn (quimb),0.9297437146306038,0.0,255.9999999999995,0.0017626434564590454,,0.27328335493803024,262.7890625,1,1,baseline,2.5848763808608055,16,5,0,0.9999999999999999,65536,success,1,1.204795740544796,QFT
qibotn (quimb),0.9009775444865227,0.0,512.0000000000009,0.001883581280708313,,0.37288275361061096,268.1484375,1,1,baseline,2.6681370362639427,18,1,0,1.0,262144,success,1,1.275751531124115,QFT
qibotn (quimb),0.6764433979988098,0.0,512.0000000000009,0.0018696635961532593,,0.3707422465085983,268.25,1,1,baseline,2.1213861033320427,18,2,0,1.0,262144,success,1,1.0490625277161598,QFT
qibotn (quimb),0.6767567694187164,0.0,512.0000000000009,0.001866750419139862,,0.37430816888809204,268.921875,1,1,baseline,2.1019337475299835,18,3,0,1.0,262144,success,1,1.0529391169548035,QFT
