mode,workers,repeat,tasks,success_count,batch_wall_s
baseline_separate_serial,1,1,21,21,49.58212324231863
baseline_separate_serial,1,2,21,21,45.19143379479647
baseline_separate_serial,1,3,21,21,46.60675282776356
baseline_separate_serial,1,4,21,21,48.75461915880442
baseline_separate_serial,1,5,21,21,43.20346114784479
persistent_serial,1,1,21,21,6.304747827351093
persistent_serial,1,2,21,21,5.866788670420647
persistent_serial,1,3,21,21,5.853451229631901
persistent_serial,1,4,21,21,6.5095090046525
persistent_serial,1,5,21,21,6.4866741225123405
persistent_parallel_2,2,1,21,21,4.47426000982523
persistent_parallel_2,2,2,21,21,4.416065730154514
persistent_parallel_2,2,3,21,21,4.5800348445773125
persistent_parallel_2,2,4,21,21,4.97802871465683
persistent_parallel_2,2,5,21,21,4.03146006911993
persistent_parallel_4,4,1,21,21,4.357252277433872
persistent_parallel_4,4,2,21,21,3.954633377492428
persistent_parallel_4,4,3,21,21,3.895417794585228
persistent_parallel_4,4,4,21,21,3.2008775770664215
persistent_parallel_4,4,5,21,21,3.7158647775650024
persistent_parallel_8,8,1,21,21,3.5393916070461273
persistent_parallel_8,8,2,21,21,4.114668563008308
persistent_parallel_8,8,3,21,21,3.309682622551918
persistent_parallel_8,8,4,21,21,3.3836683854460716
persistent_parallel_8,8,5,21,21,3.5168930292129517
