backend,backend_setup_s,checksum_imag,checksum_real,creation_s,cuda_visible_devices,error,execution_s,max_rss_mb,omp_threads,openblas_threads,process_wall_s,qubits,returncode,state_norm,state_size,status,total_s,workload
qibotn (quimb),0.9491496309638023,0.0,15.999999999999922,0.001704573631286621,,,0.09265980124473572,260.1328125,1,1,2.501475363969803,8,0,0.9999999999999951,256,success,1.0435203462839127,QFT
qibotn (quimb),0.9507656842470169,0.0,63.99999999999987,0.0020155012607574463,,,0.20462539792060852,259.95703125,1,1,2.610160656273365,12,0,0.9999999999999999,4096,success,1.1574139520525932,QFT
qibotn (quimb),0.9667459800839424,0.0,255.9999999999995,0.002367570996284485,,,0.4100447818636894,263.01953125,1,1,2.86461378633976,16,0,0.9999999999999999,65536,success,1.37916549295187,QFT
,,,,,,NotImplementedError('Tensor network simulation cannot be used to reconstruct statevector for >= 20 .'),,,1,1,3.515108861029148,20,0,,,failed,,QFT
